Action,Customer ID,Negative keyword list name,Negative keyword,Keyword or list,Match type
Add,242-715-2166,TR Emergency Waste Blockers,supplier,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,suppliers,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,bicycle,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,bike,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,cycle,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,motorcycle,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,motorbike,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,scooter,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tractor,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tyre pressure,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,air pump,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,compressor,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,mot,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,alloy wheel repair,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,car wash,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,scrap tyres,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tyre disposal,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,used tyres wholesale,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,part worn wholesale,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,cheap rims,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,wheel alignment,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,wheel balancing machine,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tyre review,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tyre reviews,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,which tyre,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tyre size guide,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,meaning,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,definition,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,law,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,legal limit,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tread depth,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,ebay,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,amazon,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,gumtree,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,facebook marketplace,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,halfords bicycle,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,kwik fit jobs,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,ats jobs,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,national tyres jobs,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,indeed,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,reed,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,cv library,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,orkney,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,shetland,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,outer hebrides,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of skye,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of mull,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of arran,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of islay,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of jura,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of bute,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of tiree,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of coll,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of lewis,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,isle of harris,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,north uist,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,south uist,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,benbecula,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,barra,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,stornoway,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,kirkwall,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,lerwick,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,portree,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,rothesay,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tobermory,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,ferry,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,calmac,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,northlink,Keyword,Phrase Match
