Action,Keyword status,Customer ID,Campaign,Ad group,Keyword,Match Type,Final URL
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,flat tyre help Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,flat tyre help Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,flat tyre repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,flat tyre repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,roadside tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,roadside tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,tyre call out Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,tyre call out Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,tyre callout Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,tyre callout Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,puncture repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,puncture repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,emergency puncture repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,emergency puncture repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,emergency tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,emergency tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,emergency tyre fitter Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,emergency tyre fitter Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,24 hour tyre fitter Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,24 hour tyre fitter Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,24 hour tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,24 hour tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,mobile tyre fitter Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,mobile tyre fitter Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,mobile tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,mobile tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,mobile tyre repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,mobile tyre repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,flat tyre help Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,flat tyre help Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,flat tyre repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,flat tyre repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,roadside tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,roadside tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,tyre call out Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,tyre call out Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,tyre callout Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,tyre callout Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,puncture repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,puncture repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,emergency puncture repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,emergency puncture repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,emergency tyre fitting Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,emergency tyre fitting Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,emergency tyre fitter Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,emergency tyre fitter Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,24 hour tyre fitter Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,24 hour tyre fitter Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,24 hour tyre fitting Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,24 hour tyre fitting Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,mobile tyre fitter Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,mobile tyre fitter Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,mobile tyre fitting Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,mobile tyre fitting Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,mobile tyre repair Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,mobile tyre repair Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,flat tyre help Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,flat tyre help Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,flat tyre repair Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,flat tyre repair Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,roadside tyre fitting Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,roadside tyre fitting Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,tyre call out Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,tyre call out Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,tyre callout Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,tyre callout Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,puncture repair Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,puncture repair Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,emergency puncture repair Govan,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,emergency puncture repair Govan,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govan
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,emergency tyre fitting Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,emergency tyre fitting Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,emergency tyre fitter Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,emergency tyre fitter Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,24 hour tyre fitter Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,24 hour tyre fitter Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,24 hour tyre fitting Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,24 hour tyre fitting Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,mobile tyre fitter Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,mobile tyre fitter Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,mobile tyre fitting Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,mobile tyre fitting Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,mobile tyre repair Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,mobile tyre repair Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,flat tyre help Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,flat tyre help Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,flat tyre repair Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,flat tyre repair Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,roadside tyre fitting Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,roadside tyre fitting Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,tyre call out Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,tyre call out Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,tyre callout Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,tyre callout Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,puncture repair Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,puncture repair Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,emergency puncture repair Partick,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,emergency puncture repair Partick,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/partick
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,emergency tyre fitting Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,emergency tyre fitting Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,emergency tyre fitter Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,emergency tyre fitter Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,24 hour tyre fitter Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,24 hour tyre fitter Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,24 hour tyre fitting Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,24 hour tyre fitting Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,mobile tyre fitter Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,mobile tyre fitter Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,mobile tyre fitting Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,mobile tyre fitting Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,mobile tyre repair Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,mobile tyre repair Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,flat tyre help Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,flat tyre help Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,flat tyre repair Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,flat tyre repair Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,roadside tyre fitting Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,roadside tyre fitting Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,tyre call out Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,tyre call out Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,tyre callout Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,tyre callout Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,puncture repair Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,puncture repair Shawlands,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,emergency puncture repair Shawlands,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/shawlands
