Action,Ad status,Customer ID,Campaign ID,Ad group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Headline 1 position,Headline 2 position,Path 1,Path 2,Final URL
Add,Enabled,242-715-2166,23976658719,Glasgow - Parkhead Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Parkhead Tyre Help,Flat tyre in Parkhead? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,parkhead,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/parkhead
Add,Enabled,242-715-2166,23976658719,Glasgow - Bridgeton Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Bridgeton Tyre Help,Flat tyre in Bridgeton? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,bridgeton,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/bridgeton
Add,Enabled,242-715-2166,23976658719,Glasgow - Tollcross Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Tollcross Tyre Help,Flat tyre in Tollcross? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,tollcross,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/tollcross
Add,Enabled,242-715-2166,23976658719,Glasgow - Castlemilk Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Castlemilk Tyre Help,Flat tyre in Castlemilk? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,castlemilk,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/castlemilk
Add,Enabled,242-715-2166,23976658719,Glasgow - Cathcart Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Cathcart Tyre Help,Flat tyre in Cathcart? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,cathcart,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/cathcart
Add,Enabled,242-715-2166,23976658719,Glasgow - Govanhill Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Govanhill Tyre Help,Flat tyre in Govanhill? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,govanhill,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/govanhill
Add,Enabled,242-715-2166,23976658719,Glasgow - Ibrox Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Ibrox Tyre Help,Flat tyre in Ibrox? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,ibrox,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/ibrox
Add,Enabled,242-715-2166,23976658719,Glasgow - Kinning Park Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Kinning Park Tyre Help,Flat tyre in Kinning Park? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,kinning-park,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/kinning-park
Add,Enabled,242-715-2166,23976658719,Glasgow - Kelvinside Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Kelvinside Tyre Help,Flat tyre in Kelvinside? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,kelvinside,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/kelvinside
Add,Enabled,242-715-2166,23976658719,Glasgow - Hyndland Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Hyndland Tyre Help,Flat tyre in Hyndland? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,hyndland,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/hyndland
Add,Enabled,242-715-2166,23976658719,Glasgow - Hillhead Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Hillhead Tyre Help,Flat tyre in Hillhead? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,hillhead,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/hillhead
Add,Enabled,242-715-2166,23976658719,Glasgow - Anniesland Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Anniesland Tyre Help,Flat tyre in Anniesland? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,anniesland,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/anniesland
Add,Enabled,242-715-2166,23976658719,Glasgow - Scotstoun Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Scotstoun Tyre Help,Flat tyre in Scotstoun? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,scotstoun,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/scotstoun
Add,Enabled,242-715-2166,23976658719,Glasgow - Whiteinch Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Whiteinch Tyre Help,Flat tyre in Whiteinch? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,whiteinch,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/whiteinch
Add,Enabled,242-715-2166,23976658719,Glasgow - Knightswood Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Knightswood Tyre Help,Flat tyre in Knightswood? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,knightswood,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/knightswood
Add,Enabled,242-715-2166,23976658719,Glasgow - Jordanhill Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Jordanhill Tyre Help,Flat tyre in Jordanhill? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,jordanhill,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/jordanhill
Add,Enabled,242-715-2166,23976658719,Glasgow - Drumchapel Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Drumchapel Tyre Help,Flat tyre in Drumchapel? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,drumchapel,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/drumchapel
Add,Enabled,242-715-2166,23976658719,Glasgow - Yoker Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Yoker Tyre Help,Flat tyre in Yoker? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,yoker,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/yoker
Add,Enabled,242-715-2166,23976658719,Glasgow - Bearsden Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Bearsden Tyre Help,Flat tyre in Bearsden? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,bearsden,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/bearsden
Add,Enabled,242-715-2166,23976658719,Glasgow - Milngavie Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Milngavie Tyre Help,Flat tyre in Milngavie? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,milngavie,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/milngavie
Add,Enabled,242-715-2166,23976658719,Glasgow - Kirkintilloch Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Kirkintilloch Tyre Help,Flat tyre in Kirkintilloch? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,kirkintilloch,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/kirkintilloch
Add,Enabled,242-715-2166,23976658719,Glasgow - Lenzie Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Lenzie Tyre Help,Flat tyre in Lenzie? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,lenzie,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/lenzie
Add,Enabled,242-715-2166,23976658719,Glasgow - Bishopbriggs Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Bishopbriggs Tyre Help,Flat tyre in Bishopbriggs? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,bishopbriggs,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/bishopbriggs
Add,Enabled,242-715-2166,23976658719,Glasgow - Stepps Emergency,Responsive search ad,Emergency Tyre Fitting,Call 0141 266 0690,24/7 Mobile Tyre Help,24 Hour Tyre Fitter,Mobile Tyre Fitter,Flat Tyre Help Now,Roadside Tyre Help,Call Now For Tyres,Callout From GBP49,Fitting From GBP20,Repair From GBP25,We Come To Your Location,No Tow Truck Needed,Fast Emergency Dispatch,Stepps Tyre Help,Flat tyre in Stepps? Call Tyre Rescue 24/7 for mobile tyre fitting help.,Emergency mobile tyre fitter sent to your location. Callout from GBP49.,Tyre size and price confirmed first. Call now for urgent roadside tyre help.,Book online or call now. Fitting from GBP20 and puncture repair from GBP25.,1,2,emergency,stepps,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow/stepps
