Action,Customer ID,Campaign,Ad group,Status,Ad group type
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Scotstoun Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Whiteinch Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Knightswood Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Jordanhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Drumchapel Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Yoker Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Bearsden Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Milngavie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Kirkintilloch Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Lenzie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Bishopbriggs Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Stepps Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Riddrie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Carntyne Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Baillieston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Mount Vernon Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Carmyle Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Rutherglen Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Cambuslang Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Burnside Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - King's Park Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Croftfoot Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Toryglen Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Dalmarnock Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Calton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Barlanark Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Easterhouse Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Garrowhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Cranhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Robroyston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Possil Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Lambhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Ruchill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Thornliebank Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Giffnock Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Clarkston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Busby Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Newton Mearns Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Barrhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Nitshill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Penilee Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Cardonald Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Hillington Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Renfrew Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Clydebank Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Dalmuir Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Uddingston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Bothwell Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Bellshill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Viewpark Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Blantyre Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Coatbridge Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Airdrie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Old Kilpatrick Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - West End Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - City Centre Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - East End Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Southside Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Crosshill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Langside Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Mount Florida Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Battlefield Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Cessnock Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Tradeston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Finnieston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Anderston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Woodlands Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Garnethill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Townhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Royston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Blackhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Provanmill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Milton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Summerston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Temple Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Kelvindale Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Broomhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Dowanhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Mosspark Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Corkerhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Muirend Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Netherlee Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Stamperland Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Elderslie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Erskine Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Bowling Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Craigton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Arden Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shettleston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Chryston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Moodiesburn Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Duntocher Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Dumbarton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Alexandria Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Balloch Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Helensburgh Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Emergency 24-7,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Flat Tyre Call,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Leith Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Portobello Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Musselburgh Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Dalkeith Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Bonnyrigg Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Loanhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Penicuik Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - South Queensferry Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Cramond Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Corstorphine Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Morningside Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Newington Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Bruntsfield Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Stockbridge Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Canonmills Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Gorgie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Dalry Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Slateford Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Juniper Green Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Currie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Balerno Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Ratho Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Granton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Trinity Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Newhaven Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Pilton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Muirhouse Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Silverknowes Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Davidson's Mains Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Barnton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Blackhall Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Marchmont Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Tollcross Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Haymarket Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Fountainbridge Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Gilmerton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Liberton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Craigmillar Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Niddrie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Duddingston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Prestonfield Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Fairmilehead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Colinton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Oxgangs Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Lasswade Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Roslin Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Tranent Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Haddington Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Kirkliston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Broxburn Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Bathgate Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Linlithgow Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Old Town Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - New Town Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Craigentinny Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Abbeyhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Meadowbank Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Dean Village Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Comely Bank Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Inverleith Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Bonnington Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Lochend Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Easter Road Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Restalrig Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Willowbrae Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Sighthill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Wester Hailes Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Stenhouse Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Murrayfield Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Ravelston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Clermiston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Drumbrae Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - South Gyle Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Gorebridge Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - North Berwick Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Dunbar Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Warriston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Jock's Lodge Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Swanston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Dreghorn Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Mountcastle Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Pathhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Prestonpans Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Wallyford Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Newtongrange Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Danderhall Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Edinburgh - Longniddry Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Emergency 24-7,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Flat Tyre Call,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Broughty Ferry Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Monifieth Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Carnoustie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Arbroath Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Forfar Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Scone Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Coupar Angus Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Blairgowrie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Lochee Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Downfield Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Menzieshill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Charleston Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Fintry Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Whitfield Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Douglas Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Stobswell Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Hilltown Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Invergowrie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Longforgan Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Errol Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Inchture Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - West End Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Barnhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Tayport Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Newport-on-Tay Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Wormit Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Brechin Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Montrose Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Kirriemuir Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Mid Craigie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Strathmartine Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - City Quay Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Caird Park Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Ardler Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Kirkton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Ninewells Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Balgay Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Blackness Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Claverhouse Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Dryburgh Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Baxter Park Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Stannergate Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Baldovie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - St Mary's Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Mains of Fintry Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Trottick Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Muirhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Auchterhouse Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Tealing Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Ferry Road Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Law Hill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Birkhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Piperdam Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - St Andrews Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Cupar Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Dundee - Leuchars Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Emergency 24-7,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Flat Tyre Call,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Bridge of Allan Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Causewayhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Bannockburn Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Dunblane Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Alloa Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Tillicoultry Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Dollar Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Clackmannan Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Menstrie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Blairlogie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Raploch Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - St Ninians Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Cambusbarron Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Cowie Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Plean Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Callander Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Stirling - Doune Emergency,Enabled,
